NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Jamalpur_HalaraVlg_D (West Bengal),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamalpur_HalaraVlg_D (West Bengal),Bardhaman_Ulhas_I (West Bengal),S,ANY,ANY,ANY,Surface,Kolkata_E,0816,0300;1045;1645;2215
Jambusar_Aabadnagar_D (Gujarat),Jambusar_Aabadnagar_D (Gujarat),ANY,ANY,ANY,ANY,Surface,Vadodara_W,3101,0530;1200;1615;2030
Jambusar_Dabhasa_D (Gujarat),Jambusar_Dabhasa_D (Gujarat),ANY,ANY,ANY,ANY,Surface,Vadodara_W,4002,0530;1200;1615;2030
Jamjodhpur_SubhashRd_DPP (Gujarat),Jamjodhpur_SubhashRd_DPP (Gujarat),ANY,ANY,ANY,ANY,Surface,Ahmedabad_W,0612,0300;1100;1900
Jamkhandi_Laxmingr_D (Karnataka),Bijapur_Mahalbhagayat_I (Karnataka),ANY,ANY,ANY,ANY,Surface,Kolhapur_W,4109,0530;1030
Jamkhed_DaulatCmplex_DPP (Maharashtra),Ahmednagar_Nagapur_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Pune_W,3606,0145;0600;0830;1515;2100
Jamkhed_Manjarshumbha_DPP (Maharashtra),Ahmednagar_Nagapur_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Pune_W,3606,0145;0600;0830;1515;2100
Jammikunta_Kothapally_D (Telangana),Hyderabad_Shamshbd_H (Telangana),E,ANY,ANY,ANY,Express,Hyderabad_S,5102,2130
Jammikunta_Kothapally_D (Telangana),KarimNagar_Alugunoor_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,4409,0000;0800;1600
Jammu_Balicharana1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Balicharana1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_Bathindi1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Bathindi1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_Birpur_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Birpur_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_Hazuribagh1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Hazuribagh1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_ModelTown_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_ModelTown_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_Nagrota_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Nagrota_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_Paloura1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_Paloura1_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_ShivNagar_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_ShivNagar_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jammu_TransportNagar1_L (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jammu_TransportNagar1_L (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jamnagar_Kansumara1_L (Gujarat),Jamnagar_Kansumara_L (Gujarat),ANY,ANY,ANY,ANY,Surface,Ahmedabad_W,1912,1500;2300
Jamnagar_Kansumara_L (Gujarat),Rajkot_Amargadh_H (Gujarat),ANY,ANY,ANY,ANY,Surface,Rajkot_W,0503,1500;2300
Jamnagar_KomlNgr_D (Gujarat),Rajkot_Amargadh_H (Gujarat),ANY,ANY,ANY,ANY,Surface,Rajkot_W,0503,1500;2300
Jamnagar_Motikhavdi_D (Gujarat),Rajkot_Amargadh_H (Gujarat),ANY,ANY,ANY,ANY,Surface,Rajkot_W,0108,1500;2300
Jamnagar_Patelnagar_D (Gujarat),Rajkot_Amargadh_H (Gujarat),ANY,ANY,ANY,ANY,Surface,Rajkot_W,0503,1500;2300
Jamner_BusStd_D (Maharashtra),Jalgaon_MIDC_I (Maharashtra),ANY,ANY,ANY,ANY,Surface,Jalgaon_W,2703,0415;1130;1730;2100
Jamshedpur_Asanbani_H (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_Asanbani_H (Jharkhand),Ranchi_Rampur_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1711,0300;1045
Jamshedpur_AzadNagar_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_AzadNagar_D (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamshedpur_Baradwari_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_Baradwari_D (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamshedpur_Deoghar_H (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_Deoghar_H (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamshedpur_DindliBasti_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_DindliBasti_D (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamshedpur_Jugsalai_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_Jugsalai_D (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamshedpur_Kadma_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_Kadma_D (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamshedpur_Manifit_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamshedpur_Manifit_D (Jharkhand),Jamshedpur_Deoghar_H (Jharkhand),S,ANY,ANY,ANY,Surface,Ranchi_E,1908,0300;1045;1645;2215
Jamtara_Chakrakasabad_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamtara_Chakrakasabad_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1710,0300;1045
Jamtara_Karmatar_D (Jharkhand),Kolkata_Dankuni_GW (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,1209,0330;0600;1000;1600;2000
Jamtara_Karmatar_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1710,0300;1045
Jamui_Mehsouri_D (Bihar),Patna_Janarjanpur_H (Bihar),E,ANY,ANY,ANY,Express,Patna_E,2704,0330;0600;1000;1600;2000
Jamui_Mehsouri_D (Bihar),Lakhisarai_Kiul_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,2610,0300;1045;1645;2215
Janakpur_SichaiColony_D (Chhattisgarh),Shahdol_Jamui_I (Madhya Pradesh),ANY,ANY,ANY,ANY,Surface,Shahdol_W,1307,0415;1130;1730;2100
Jangaon_Batkamakunta_D (Telangana),Hyderabad_Shamshbd_H (Telangana),E,ANY,ANY,ANY,Express,Hyderabad_S,5102,2130
Jangaon_Batkamakunta_D (Telangana),Warangal_Stambampalli_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,1802,0000;0800;1600
Jangareddygudem_RTC_D (Andhra Pradesh),Hyderabad_Shamshbd_H (Telangana),E,ANY,ANY,ANY,Express,Hyderabad_S,5102,2130
Jangareddygudem_RTC_D (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,4908,0600;0830;2100
Jannaram_SrilankaColony_DPP (Telangana),Hyderabad_Shamshbd_H (Telangana),E,ANY,ANY,ANY,Express,Hyderabad_S,5102,2130
Jannaram_SrilankaColony_DPP (Telangana),Mancherial_Nuspur_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,3501,0000;0800;1600
Jaora_AdityaNagar_D (Madhya Pradesh),Mandsaur_Ajijkhedi_I (Madhya Pradesh),ANY,ANY,ANY,ANY,Surface,Indore_W,1804,0530
Japla_KrishnaNagar_D (Jharkhand),Patna_Janarjanpur_H (Bihar),E,ANY,ANY,ANY,Express,Patna_E,2704,0330;0600;1000;1600;2000
