NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Dhanbad_Jharia_DC (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_Katrasgarh_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_Temp_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_Tilabani_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_Tilabani_H (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dumka_Baijnathpur_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dumka_Dudhani_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dumka_Hansdiha1_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Giridih_Kharagdiha_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Giridih_Mahthadih_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Godda_Maruabaran_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Gomoh_Topchanchi_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Jamtara_Chakrakasabad_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Jamtara_Karmatar_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Kundahit_Bankati_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Madhupur_Pasia_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
